model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,27,0,e,H13_eff3,0.0,0.0
VanillaLensPINN,27,0,e,H13b_eff4,0.0,0.0
VanillaLensPINN,27,0,e,H14_eff5,0.0,0.0
VanillaLensPINN,27,0,e,H14b_eff6,0.0,0.0
VanillaLensPINN,27,0,e,H15_before_gap,0.0,0.0
VanillaLensPINN,27,0,e,H16_after_gap,0.0,0.0
VanillaLensPINN,27,0,e,H17_pre_linear,0.0,0.0
VanillaLensPINN,27,0,r90,H00_preprocess,2.455824375152588,644.096923828125
VanillaLensPINN,27,0,r90,H01_enc1,2.455824375152588,189847.59375
VanillaLensPINN,27,0,r90,H02_enc2,10.996729850769043,145834.3125
VanillaLensPINN,27,0,r90,H03_enc3,4.441836357116699,105636.6484375
VanillaLensPINN,27,0,r90,H04_bot,2.6161303520202637,3408202.5
VanillaLensPINN,27,0,r90,H08_kappa_out,2.455824375152588,12.33195686340332
VanillaLensPINN,27,0,r90,H09_poisson,1.851500391960144,308022.8125
VanillaLensPINN,27,0,r90,H10_deflection,1.851500391960144,824.0178833007812
VanillaLensPINN,27,0,r90,H11_inv_lens,11.475008010864258,313.2568826675415
VanillaLensPINN,27,0,r90,H12_HANDOFF,6.706331253051758,614.878173828125
VanillaLensPINN,27,0,r90,H13_eff3,6.706331253051758,761977.0
VanillaLensPINN,27,0,r90,H13b_eff4,6.706331253051758,217914.296875
VanillaLensPINN,27,0,r90,H14_eff5,6.706331253051758,291841.4375
VanillaLensPINN,27,0,r90,H14b_eff6,6.706331253051758,132837.921875
VanillaLensPINN,27,0,r90,H15_before_gap,6.706331253051758,4709.3642578125
VanillaLensPINN,27,0,r90,H16_after_gap,6.706331253051758,38.23618698120117
VanillaLensPINN,27,0,r90,H17_pre_linear,6.706331253051758,38.23618698120117
VanillaLensPINN,27,0,r180,H00_preprocess,5.73793888092041,700.8380126953125
VanillaLensPINN,27,0,r180,H01_enc1,5.73793888092041,202519.359375
VanillaLensPINN,27,0,r180,H02_enc2,10.625547409057617,166518.0625
VanillaLensPINN,27,0,r180,H03_enc3,1.6619287729263306,120840.3828125
VanillaLensPINN,27,0,r180,H04_bot,0.6876794099807739,3925832.25
VanillaLensPINN,27,0,r180,H08_kappa_out,5.73793888092041,17.731868743896484
VanillaLensPINN,27,0,r180,H09_poisson,1.0357023477554321,464575.375
VanillaLensPINN,27,0,r180,H10_deflection,1.0357023477554321,1422.707275390625
